,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
114,parsed-facebook_combined-56.csv,GraphMat,PageRank,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0324328125
115,parsed-facebook_combined-56.csv,PowerGraph,PageRank,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.05625
116,parsed-facebook_combined-56.csv,GAP,SSSP,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.07201625
117,parsed-facebook_combined-56.csv,GraphBIG,SSSP,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0045119246969697
118,parsed-facebook_combined-56.csv,GraphMat,SSSP,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.002958875
119,parsed-facebook_combined-56.csv,PowerGraph,SSSP,4039,88234,56,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0
120,parsed-cit-Patents-1.csv,GAP,BFS,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,0.303444375
121,parsed-cit-Patents-1.csv,GraphBIG,BFS,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,5.5134275e-07
122,parsed-cit-Patents-1.csv,GraphMat,BFS,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,0.943189
123,parsed-cit-Patents-1.csv,GAP,PageRank,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,7.7411775
124,parsed-cit-Patents-1.csv,GraphBIG,PageRank,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,9.4551125
