Unnamed: 0,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
472,parsed-eat-4.csv,PowerGraph,PageRank,23132,511764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.425
479,parsed-eat-8.csv,GraphBIG,PageRank,23132,511764,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090318006
480,parsed-eat-8.csv,GraphMat,PageRank,23132,511764,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079471688
481,parsed-eat-8.csv,PowerGraph,PageRank,23132,511764,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76875
488,parsed-eat-16.csv,GraphBIG,PageRank,23132,511764,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086255781
489,parsed-eat-16.csv,GraphMat,PageRank,23132,511764,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05726925
490,parsed-eat-16.csv,PowerGraph,PageRank,23132,511764,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475
497,parsed-eat-24.csv,GraphBIG,PageRank,23132,511764,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081679906
498,parsed-eat-24.csv,GraphMat,PageRank,23132,511764,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040822188
499,parsed-eat-24.csv,PowerGraph,PageRank,23132,511764,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43125
506,parsed-eat-32.csv,GraphBIG,PageRank,23132,511764,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086998281
507,parsed-eat-32.csv,GraphMat,PageRank,23132,511764,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0679905
508,parsed-eat-32.csv,PowerGraph,PageRank,23132,511764,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425
515,parsed-eat-40.csv,GraphBIG,PageRank,23132,511764,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0852211
516,parsed-eat-40.csv,GraphMat,PageRank,23132,511764,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092373
517,parsed-eat-40.csv,PowerGraph,PageRank,23132,511764,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45625
524,parsed-eat-48.csv,GraphBIG,PageRank,23132,511764,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085948275
525,parsed-eat-48.csv,GraphMat,PageRank,23132,511764,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17722
526,parsed-eat-48.csv,PowerGraph,PageRank,23132,511764,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49375
533,parsed-eat-56.csv,GraphBIG,PageRank,23132,511764,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098334888
534,parsed-eat-56.csv,GraphMat,PageRank,23132,511764,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179449188
